cadr_name;tips_title;tips_desc
lvl-1.1;Выключаем свет, когда он не нужен;Отключаем свет, телевизор в том месте, где нет людей.
lvl-1.1;Отключаем неработающие электроприборы;Вытаскиваем из розеток зарядки и бытовую технику, которые не используются в данный момент.
lvl-1.1;Вкручиваем энергосберегающие лампочки;Используйте энергосберегающие лампочки (содержат ртуть и их необходимо сдавать на переработку), которые будут работать в разы дольше.
lvl-1.1;Пользуемся бытовой техникой (А++, А+);Покупайте бытовую технику с наименьшим энергопотреблением с маркировкой А++, A+, A и тд.).
lvl-1.1;Используем аккумуляторные батарейки;Сдайте на переработку обычные батарейки и приобретите аккумуляторные батарейки многоразового действия.
lvl-1.2;Моемся в душе, а не в ванной ;Предпочитайте душ, он тратит около 100 л), в то время как прием ванны около 200 л.
lvl-1.2;Выключаем воду, когда она не нужна;Чистим зубы, намыливаем себя в душе и посуду с выключенной водой.
lvl-1.2;Устанавливаем насадку на кран;А также ставим на кран специальную водо-сберегающую насадку-аэратор.
lvl-1.2;Максимально загружаем машинку;Загружаем посудомоечную и стиральные машины по-максимуму на 80 % и более.
lvl-1.2;Устраняем протечки воды;Отслеживаем состояние кранов, труб и бака унитаза, они не должны протекать.
lvl-1.3;Отслеживаем утечки тепла через окна;Через щели может уходить до 40% тепла, поэтому отслеживаем герметичность окон, балконной и входной дверей. Если окна старые желательно заменить их на современные.
lvl-1.3;Следим за температурой батарей;Регулируем температуру батарей. Если жарко убавляем температуру, а не открываем окно. Если холодно, устанавливаем за батареей теплоотражающий экран.
lvl-1.3;Утепляем балкон;Остекление и утепление балкона равносильно установке дополнительного окна.
lvl-1.3;Утепляем пол и стены;При необходимости на пол можно положить ковер, а также утеплить стены.
lvl-1.4;Покупаем страшненькие овощи/фрукты;Спасайте от участи оказаться в мусорке страшненькие овощи, одинокие бананы, они ведь ничем не хуже тех, что на гроздьях!
lvl-1.4;Смотрим за сроком годности;Следите за датой приготовления того или иного продукта и за его сроком годности.
lvl-1.4;Спасаем еду в морозилке;Спасайте так же еду из вашего холодильника, которая вот-вот может испортиться, просто отправив ее в морозилку. Кстати, хлеб, фрукты, овощи можно хранить в холодильнике увеличив им тем самым срок годности.
lvl-1.4;Пишем списки;Старайтесь не покупать лишнего, пишите списки перед походами в магазин.
